Rank,Strategy,Direction,TF,Entry,Exit,SL,TP,Opened,Closed,Close Reason,Raw Pips,Spread,Slippage,Net Pips,Gross $,Net $,Risk Pips,Reward Pips,R:R
193,ST_02_XAUUSD_H1,BUY,H1,4968.38,4973.51,4973.87,4984.38,2026-02-19T01:08:36,2026-02-19T02:12:25,sl_hit,51.3,12,1.2,38.1,5.13,3.69,54.9,160.0,2.91
194,STOCH_03_XAUUSD_H1,SELL,H1,4919.4,4914.37,4914.37,4903.4,2026-02-18T10:03:07,2026-02-18T10:56:45,sl_hit,50.3,12,1.3,37.0,5.03,3.58,50.3,160.0,3.18
195,SM_08_XAUUSD_H1,SELL,H1,4919.4,4914.37,4914.37,4903.4,2026-02-18T10:03:06,2026-02-18T10:56:45,sl_hit,50.3,12,1.5,36.8,5.03,3.56,50.3,160.0,3.18
196,MACD_04_XAUUSD_H1,BUY,H1,4949.37,4954.33,4955.42,4965.37,2026-02-18T13:04:32,2026-02-18T13:23:18,sl_hit,49.6,12,1.0,36.6,4.96,3.54,60.5,160.0,2.64
197,PVT_02_XAUUSD_H1,BUY,H1,4996.24,5001.24,5001.71,5012.24,2026-02-19T09:38:41,2026-02-19T09:55:25,sl_hit,50.0,12,1.4,36.6,5.0,3.54,54.7,160.0,2.93
198,VOL_03_XAUUSD_H1,BUY,H1,4996.24,5001.22,5001.71,5012.24,2026-02-19T09:38:41,2026-02-19T09:55:25,sl_hit,49.8,12,1.7,36.1,4.98,3.49,54.7,160.0,2.93
199,PVT_02_XAUUSD_H1,BUY,H1,4984.67,4989.47,4991.61,5000.67,2026-02-18T18:42:53,2026-02-18T19:26:16,sl_hit,48.0,12,1.0,35.0,4.8,3.38,69.4,160.0,2.31
200,FIB_07_XAUUSD_H1,SELL,H1,4975.3,4970.47,4970.07,4959.3,2026-02-19T02:10:45,2026-02-19T02:21:30,sl_hit,48.3,12,1.4,34.9,4.83,3.37,52.3,160.0,3.06
201,MA_02_XAUUSD_H1,SELL,H1,4975.3,4970.47,4970.07,4959.3,2026-02-19T02:10:45,2026-02-19T02:21:30,sl_hit,48.3,12,1.5,34.8,4.83,3.36,52.3,160.0,3.06
202,MOM_01_XAUUSD_H1,BUY,H1,4951.06,4955.84,4956.68,4967.06,2026-02-18T13:46:14,2026-02-18T14:07:03,sl_hit,47.8,12,1.1,34.7,4.78,3.35,56.2,160.0,2.85
203,MACD_04_XAUUSD_H1,BUY,H1,4984.68,4989.46,4989.61,5000.68,2026-02-19T04:12:38,2026-02-19T05:16:05,sl_hit,47.8,12,1.2,34.6,4.78,3.34,49.3,160.0,3.25
204,ADX_01_XAUUSD_H1,SELL,H1,4915.87,4911.18,4910.49,4899.87,2026-02-18T11:16:26,2026-02-18T11:49:10,sl_hit,46.9,12,1.0,33.9,4.69,3.27,53.8,160.0,2.97
205,ST_05_XAUUSD_H1,SELL,H1,4915.87,4911.18,4910.49,4899.87,2026-02-18T11:16:25,2026-02-18T11:49:10,sl_hit,46.9,12,1.1,33.8,4.69,3.26,53.8,160.0,2.97
206,CCI_03_XAUUSD_H1,BUY,H1,4930.27,4934.88,4935.69,4946.27,2026-02-18T07:00:28,2026-02-18T07:19:50,sl_hit,46.1,12,0.5,33.6,4.61,3.24,54.2,160.0,2.95
207,HARM_01_XAUUSD_H1,SELL,H1,4974.72,4970.1,4970.07,4958.72,2026-02-19T02:02:20,2026-02-19T02:21:29,sl_hit,46.2,12,0.9,33.3,4.62,3.21,46.5,160.0,3.44
208,VOL_02_XAUUSD_H1,BUY,H1,4927.91,4932.46,4932.48,4943.91,2026-02-18T06:34:49,2026-02-18T06:58:43,sl_hit,45.5,12,0.7,32.8,4.55,3.16,45.7,160.0,3.5
