Rank,Strategy,Dir,TF,Entry,Exit,SL,TP,Opened,Closed,Reason,Raw Pips,Net Pips,Net $,R:R
238,MTF_03_BTCUSD_H1,SELL,H1,66361.06,66079.83,66010.33,65361.06,2026-02-19T15:36:14,2026-02-19T16:08:53,sl_hit,281.2,229.4,2.1743,2.85
239,CDL_10_BTCUSD_H1,BUY,H1,66414.9,66692.81,66708.43,67414.9,2026-02-19T00:02:14,2026-02-19T01:16:09,sl_hit,277.9,226.6,2.1461,3.41
240,FIB_08_BTCUSD_H1,SELL,H1,66796.58,66518.56,66510.12,65796.58,2026-02-19T10:01:53,2026-02-19T12:01:55,sl_hit,278.0,226.5,2.1452,3.49
241,SRSI_04_BTCUSD_H1,SELL,H1,66796.58,66518.56,66510.12,65796.58,2026-02-19T10:01:52,2026-02-19T12:01:54,sl_hit,278.0,226.5,2.1452,3.49
242,ICH_06_BTCUSD_H1,SELL,H1,66806.94,66529.72,66527.97,65806.94,2026-02-19T01:43:11,2026-02-19T11:57:15,sl_hit,277.2,226.0,2.1402,3.58
243,MACD_08_BTCUSD_H1,BUY,H1,66722.29,66998.68,67017.03,67722.29,2026-02-19T01:14:25,2026-02-19T04:05:44,sl_hit,276.4,225.6,2.1359,3.39
244,HARM_06_BTCUSD_H1,SELL,H1,66435.5,66159.69,66092.27,65435.5,2026-02-19T14:52:20,2026-02-19T15:15:42,sl_hit,275.8,225.0,2.1301,2.91
245,BB_03_BTCUSD_H1,BUY,H1,66292.95,66569.24,66571.31,67292.95,2026-02-18T21:01:56,2026-02-19T00:10:34,sl_hit,276.3,224.6,2.1259,3.59
246,ICH_02_BTCUSD_H1,SELL,H1,66794.16,66518.53,66510.12,65794.16,2026-02-19T02:04:58,2026-02-19T12:01:52,sl_hit,275.6,224.6,2.1263,3.52
247,DIV_06_BTCUSD_H1,BUY,H1,66065.76,66341.19,66345.68,67065.76,2026-02-18T19:44:26,2026-02-18T20:27:28,sl_hit,275.4,224.2,2.1223,3.57
248,SM_04_BTCUSD_H1,BUY,H1,66065.76,66341.19,66345.68,67065.76,2026-02-18T19:44:26,2026-02-18T20:27:28,sl_hit,275.4,223.9,2.1193,3.57
249,EW_04_BTCUSD_H1,BUY,H1,67109.92,67382.34,67401.13,68109.92,2026-02-18T13:54:09,2026-02-18T15:04:08,sl_hit,272.4,221.8,2.0982,3.43
250,BB_09_BTCUSD_H1,SELL,H1,68079.06,67807.12,67793.9,67079.06,2026-02-18T09:02:29,2026-02-18T10:46:38,sl_hit,271.9,221.0,2.0904,3.51
251,ADX_01_BTCUSD_H1,SELL,H1,67132.62,66859.89,66684.23,66132.62,2026-02-18T16:11:38,2026-02-18T18:23:25,sl_hit,272.7,220.9,2.0893,2.23
252,MA_10_BTCUSD_H1,BUY,H1,67109.92,67382.34,67401.13,68109.92,2026-02-18T13:54:09,2026-02-18T15:04:08,sl_hit,272.4,220.8,2.0882,3.43
253,MS_01_BTCUSD_H1,SELL,H1,68079.06,67807.12,67793.9,67079.06,2026-02-18T09:02:28,2026-02-18T10:46:38,sl_hit,271.9,220.4,2.0844,3.51
254,ICH_01_BTCUSD_H1,BUY,H1,67137.14,67407.73,67505.89,68137.14,2026-02-18T14:37:18,2026-02-18T15:06:44,sl_hit,270.6,218.7,2.0669,2.71
255,MA_04_BTCUSD_H1,SELL,H1,66787.8,66518.56,66510.12,65787.8,2026-02-19T10:03:43,2026-02-19T12:01:55,sl_hit,269.2,218.5,2.0654,3.6
256,MA_01_BTCUSD_H1,SELL,H1,66787.8,66518.56,66510.12,65787.8,2026-02-19T10:03:42,2026-02-19T12:01:55,sl_hit,269.2,218.1,2.0614,3.6
257,STOCH_08_BTCUSD_H1,SELL,H1,67133.94,66864.96,66689.49,66133.94,2026-02-18T18:04:07,2026-02-18T18:23:26,sl_hit,269.0,218.1,2.0608,2.25
258,VOL_06_BTCUSD_H1,BUY,H1,66300.01,66569.24,66571.31,67300.01,2026-02-18T23:05:17,2026-02-19T00:10:34,sl_hit,269.2,218.1,2.0613,3.69
259,MACD_01_BTCUSD_H1,SELL,H1,67133.94,66864.96,66689.49,66133.94,2026-02-18T18:04:07,2026-02-18T18:23:27,sl_hit,269.0,217.9,2.0588,2.25
260,SM_10_BTCUSD_H1,SELL,H1,66972.45,66704.62,66699.8,65972.45,2026-02-19T04:02:13,2026-02-19T11:40:26,sl_hit,267.8,217.0,2.0503,3.67
261,ADX_02_BTCUSD_H1,SELL,H1,66956.04,66687.85,66673.82,65956.04,2026-02-19T03:27:04,2026-02-19T11:47:01,sl_hit,268.2,216.9,2.0489,3.54
262,ICH_09_BTCUSD_H1,SELL,H1,67132.18,66864.91,66684.23,66132.18,2026-02-18T16:59:28,2026-02-18T18:23:25,sl_hit,267.3,216.4,2.0437,2.23
263,VOL_07_BTCUSD_H1,SELL,H1,67955.72,67688.6,67659.69,66955.72,2026-02-18T15:49:33,2026-02-18T16:01:39,sl_hit,267.1,216.3,2.0432,3.38
264,MA_09_BTCUSD_H1,BUY,H1,66955.62,67223.2,67235.58,67955.62,2026-02-19T02:29:47,2026-02-19T07:24:25,sl_hit,267.6,216.2,2.0418,3.57
265,SM_04_BTCUSD_H1,SELL,H1,66972.45,66704.62,66699.8,65972.45,2026-02-19T04:02:13,2026-02-19T11:40:26,sl_hit,267.8,215.9,2.0393,3.67
266,WR_02_BTCUSD_H1,BUY,H1,66906.53,67173.27,67188.18,67906.53,2026-02-19T06:00:58,2026-02-19T06:28:57,sl_hit,266.7,215.2,2.0324,3.55
267,CDL_07_BTCUSD_H1,BUY,H1,66906.53,67173.27,67188.18,67906.53,2026-02-19T06:01:02,2026-02-19T06:28:57,sl_hit,266.7,214.7,2.0274,3.55
